Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkungen;geopos;lod
AAT;Aathal;2014;770;860;SBB;;47.3359563788, 8.76561022548;http://lod.opentransportdata.swiss/didok/8503124
AE;Aesch;2014;2100;2400;SBB;;47.4677359724, 7.60305476436;http://lod.opentransportdata.swiss/didok/8500117
ALL;Allaman;2014;3000;3500;CFF;;46.4757395273, 6.39970400408;http://lod.opentransportdata.swiss/didok/8501035
AW;Amriswil;2014;3000;3300;SBB;;47.5504471564, 9.30221759023;http://lod.opentransportdata.swiss/didok/8506109
ARN;Arnegg;2014;210;240;SBB;;47.4420020412, 9.25200601938;http://lod.opentransportdata.swiss/didok/8506211
BAAL;Baar Lindenpark;2014;1100;1400;SBB;;47.1831330124, 8.5170440227;http://lod.opentransportdata.swiss/didok/8515993
BRAG;Bad Ragaz;2014;2200;2500;SBB;;47.0103066077, 9.50521579767;http://lod.opentransportdata.swiss/didok/8509004
BD;Baden;2014;33300;39100;SBB;;47.476420225, 8.3076927631;http://lod.opentransportdata.swiss/didok/8503504
BLG;Baldegg;2014;240;260;SBB;;47.1856838433, 8.28020982028;http://lod.opentransportdata.swiss/didok/8502025
BSDH;Basel SBB Dreispitz;2014;1800;2100;SBB;;47.5378619945, 7.60894180152;http://lod.opentransportdata.swiss/didok/8500136
BSC;Bassecourt;2014;1000;1200;CFF;;47.3366812155, 7.24684027661;http://lod.opentransportdata.swiss/didok/8500122
BNK;Benken;2014;320;380;SBB;;47.2044563538, 9.00863107374;http://lod.opentransportdata.swiss/didok/8503118
BN;Bern;2014;180700;202600;SBB;Passagierfrequenzen: ohne RBS.;46.948824497, 7.43911900576;http://lod.opentransportdata.swiss/didok/8507000
BET;Bettlach;2014;670;840;SBB;;47.1949438967, 7.42836206864;http://lod.opentransportdata.swiss/didok/8500203
BIBD;Biel/Bienne Bözingenfeld/Champ;2014;300;410;SBB;;47.1583882845, 7.29458712956;http://lod.opentransportdata.swiss/didok/8518771
BWL;Birrwil;2014;170;200;SBB;;47.2878476573, 8.19899810707;http://lod.opentransportdata.swiss/didok/8502033
BCT;Boncourt;2014;190;230;CFF;;47.4926207616, 7.01654285948;http://lod.opentransportdata.swiss/didok/8500128
BOSS;Bossière;2014;220;260;CFF;;46.5097374876, 6.69932418234;http://lod.opentransportdata.swiss/didok/8504003
BOT;Bottighofen;2014;240;260;SBB;;47.6407078714, 9.21308178053;http://lod.opentransportdata.swiss/didok/8506127
