Commune,Total,x,y,ID
Aeugst am Albis,1970,8.4897,47.27541,906
Affoltern am Albis,11494,8.45128,47.27743,906
Bonstetten,5315,8.46625,47.31665,907
Hausen am Albis,3450,8.53299,47.24496,937
Hedingen,3642,8.44833,47.29794,906
Kappel am Albis,1031,8.52727,47.22811,937
Knonau,2089,8.46197,47.2235,905
Maschwanden,638,8.42709,47.23431,877
Mettmenstetten,4610,8.46347,47.24529,905
Obfelden,4977,8.4215,47.26413,877
Ottenbach,2546,8.40942,47.28147,878
Rifferswil,1056,8.49692,47.24372,905
Stallikon,3442,8.48965,47.32582,907
Wettswil am Albis,4868,8.46993,47.33727,907
Adlikon,662,8.69148,47.5823,1010
Benken (ZH),850,8.65391,47.65276,1012
Berg am Irchel,571,8.59678,47.56951,977
Buch am Irchel,951,8.62744,47.548,976
Dachsen,1968,8.6179,47.66515,979
Feuerthalen,3498,8.64357,47.69054,979
Flaach,1349,8.60633,47.57608,977
Flurlingen,1428,8.62995,47.6839,979
Andelfingen,2153,8.68124,47.61328,1011
Henggart,2240,8.68215,47.56272,1010
Humlikon,497,8.67007,47.57641,1010
Kleinandelfingen,2055,8.68362,47.60058,1011
Laufen-Uhwiesen,1616,8.64354,47.67025,1012
Marthalen,1935,8.65326,47.62913,1011
Oberstammheim,1166,8.79963,47.63244,1078
Ossingen,1408,8.72781,47.61175,1045
Thalheim an der Thur,900,8.7512,47.57822,1044
Trüllikon,1010,8.68919,47.63539,1011
Truttikon,471,8.72718,47.62908,1045
Unterstammheim,914,8.79064,47.63921,1079
Volken,334,8.62579,47.57482,977
Waltalingen,668,8.77821,47.62203,1045
Bachenbülach,3994,8.54556,47.50317,942
Bassersdorf,11494,8.62851,47.44342,974
Bülach,19035,8.56764,47.49706,942
Dietlikon,7547,8.6188,47.41827,974
Eglisau,4972,8.52122,47.57738,943
Embrach,9050,8.59406,47.50561,975
Freienstein-Teufen,2267,8.59045,47.53575,976
Glattfelden,4881,8.50167,47.55871,911
Hochfelden,1978,8.50895,47.52843,911
Höri,2605,8.50244,47.5075,910
Hüntwangen,1013,8.49116,47.59576,912
Kloten,18209,8.58491,47.45152,974
Lufingen,2057,8.59428,47.49108,975
Nürensdorf,5428,8.64908,47.44814,1008
Oberembrach,1052,8.61828,47.4878,975
Opfikon,18389,8.57588,47.43169,974
Rafz,4319,8.54305,47.60438,944
Rorbas,2730,8.57555,47.53092,976
Wallisellen,15446,8.59672,47.41499,974
Wasterkingen,570,8.47121,47.58956,912
Wil (ZH),1366,8.50815,47.60447,912
Bachs,580,8.43942,47.52385,882
Boppelsen,1320,8.40614,47.46945,881
Buchs (ZH),6233,8.43661,47.45876,881
Dällikon,3930,8.43243,47.43938,881
Dänikon,1881,8.40648,47.44674,881
Dielsdorf,5881,8.45631,47.47181,910
Hüttikon,877,8.38807,47.4426,881
Neerach,3030,8.47099,47.51096,911
Niederglatt,4697,8.49987,47.49066,910
Niederhasli,8991,8.48576,47.48012,910
Niederweningen,2824,8.37711,47.50614,882
Oberglatt,6752,8.51896,47.47576,941
Oberweningen,1783,8.40702,47.50226,882
Otelfingen,2741,8.39141,47.46053,881
Regensberg,467,8.43791,47.48295,910
Regensdorf,17843,8.46874,47.4341,909
Rümlang,7625,8.52993,47.45041,941
Schleinikon,712,8.39748,47.49747,882
Schöfflisdorf,1380,8.41754,47.5003,882
Stadel,2180,8.46353,47.5294,911
Steinmaur,3332,8.45216,47.4971,910
Weiach,1368,8.43344,47.55908,883
Bäretswil,4920,8.85645,47.33709,1107
Bubikon,6947,8.8179,47.26698,1071
Dürnten,7299,8.84156,47.27856,1106
Fischenthal,2386,8.92052,47.33122,1144
Gossau (ZH),9662,8.75831,47.3051,1039
Grüningen,3338,8.75,47.28333,1038
Hinwil,10807,8.83431,47.29646,1072
Rüti (ZH),11793,8.85552,47.25603,1106
Seegräben,1422,8.77131,47.34124,1073
Wald (ZH),9284,8.91405,47.27595,1143
Wetzikon (ZH),23985,8.79779,47.3264,1073
Adliswil,18382,8.52462,47.30997,938
Hirzel,2136,8.6,47.21667,970
Horgen,19794,8.59778,47.25983,971
