"shapeid","x","y","ID"
"0","483333.334888","118356.860368","1"
"1","488333.337219","109696.602292","2"
"2","488333.337219","115470.107676","3"
"3","488333.337219","121243.61306","4"
"4","493333.33955","112583.354984","5"
"5","493333.33955","118356.860368","6"
"6","493333.33955","124130.365752","7"
"7","493333.33955","141450.881903","8"
"8","493333.33955","147224.387287","9"
"9","498333.341881","109696.602292","10"
"10","498333.341881","115470.107676","11"
"11","498333.341881","121243.61306","12"
"12","498333.341881","127017.118443","13"
"13","498333.341881","132790.623827","14"
"14","498333.341881","138564.129211","15"
"15","498333.341881","144337.634595","16"
"16","498333.341881","150111.139979","17"
"17","498333.341881","155884.645362","18"
"18","498333.341881","161658.150746","19"
"19","503333.344213","112583.354984","20"
"20","503333.344213","118356.860368","21"
"21","503333.344213","124130.365752","22"
"22","503333.344213","129903.871135","23"
"23","503333.344213","135677.376519","24"
"24","503333.344213","141450.881903","25"
"25","503333.344213","147224.387287","26"
"26","503333.344213","152997.892671","27"
"27","503333.344213","158771.398054","28"
"28","503333.344213","164544.903438","29"
"29","508333.346544","115470.107676","30"
"30","508333.346544","121243.61306","31"
"31","508333.346544","127017.118443","32"
"32","508333.346544","132790.623827","33"
"33","508333.346544","138564.129211","34"
"34","508333.346544","144337.634595","35"
"35","508333.346544","150111.139979","36"
"36","508333.346544","155884.645362","37"
"37","508333.346544","161658.150746","38"
"38","508333.346544","167431.65613","39"
"39","513333.348875","124130.365752","40"
"40","513333.348875","135677.376519","41"
"41","513333.348875","141450.881903","42"
"42","513333.348875","147224.387287","43"
"43","513333.348875","152997.892671","44"
"44","513333.348875","158771.398054","45"
"45","513333.348875","164544.903438","46"
"46","513333.348875","170318.408822","47"
"47","518333.351206","138564.129211","48"
"48","518333.351206","144337.634595","49"
"49","518333.351206","150111.139979","50"
"50","518333.351206","155884.645362","51"
"51","518333.351206","161658.150746","52"
"52","518333.351206","167431.65613","53"
"53","518333.351206","173205.161514","54"
"54","518333.351206","178978.666898","55"
"55","523333.353538","141450.881903","56"
"56","523333.353538","147224.387287","57"
"57","523333.353538","152997.892671","58"
"58","523333.353538","158771.398054","59"
"59","523333.353538","164544.903438","60"
"60","523333.353538","170318.408822","61"
"61","523333.353538","176091.914206","62"
"62","523333.353538","181865.41959","63"
"63","523333.353538","187638.924973","64"
"64","523333.353538","193412.430357","65"
"65","523333.353538","199185.935741","66"
"66","528333.355869","144337.634595","67"
"67","528333.355869","150111.139979","68"
"68","528333.355869","155884.645362","69"
"69","528333.355869","161658.150746","70"
"70","528333.355869","167431.65613","71"
"71","528333.355869","173205.161514","72"
"72","528333.355869","178978.666898","73"
"73","528333.355869","184752.172281","74"
"74","528333.355869","190525.677665","75"
"75","528333.355869","196299.183049","76"
"76","528333.355869","202072.688433","77"
"77","533333.3582","147224.387287","78"
"78","533333.3582","152997.892671","79"
"79","533333.3582","158771.398054","80"
"80","533333.3582","164544.903438","81"
"81","533333.3582","170318.408822","82"
"82","533333.3582","176091.914206","83"
"83","533333.3582","181865.41959","84"
"84","533333.3582","187638.924973","85"
"85","533333.3582","193412.430357","86"
"86","533333.3582","199185.935741","87"
"87","533333.3582","204959.441125","88"
"88","538333.360531","144337.634595","89"
"89","538333.360531","150111.139979","90"
"90","538333.360531","155884.645362","91"
"91","538333.360531","161658.150746","92"
"92","538333.360531","167431.65613","93"
"93","538333.360531","173205.161514","94"
"94","538333.360531","178978.666898","95"
"95","538333.360531","184752.172281","96"
"96","538333.360531","190525.677665","97"
"97","538333.360531","196299.183049","98"
"98","538333.360531","202072.688433","99"
"99","538333.360531","207846.193817","100"
"100","543333.362863","141450.881903","101"
"101","543333.362863","147224.387287","102"
"102","543333.362863","152997.892671","103"
"103","543333.362863","158771.398054","104"
"104","543333.362863","164544.903438","105"
"105","543333.362863","170318.408822","106"
"106","543333.362863","176091.914206","107"
"107","543333.362863","181865.41959","108"
