stop_id,ID
132,553
133,949
134,892
135,603
136,572
137,848
138,1513
139,1070
140,958
141,993
142,727
174,1060
175,657
176,939
8014423,528
8014424,528
8014428,528
8014429,527
8014439,561
8014440,561
8014441,561
8014474,809
8014481,884
8014482,914
8014483,914
8014484,979
8014485,979
8014487,1013
8014488,884
8014583,1255
8014584,1255
8014586,1285
8014587,1285
8039347,1255
8060978,527
8060979,561
8069220,561
8069221,561
8080251,1255
8087021,527
8099982,1255
8301113,1048
8500010,527
8500016,495
8500020,560
8500021,560
8500022,593
8500023,592
8500024,592
8500025,592
8500026,625
8500027,658
8500028,658
8500031,624
8500032,624
8500033,657
8500034,657
8500035,657
8500037,656
8500051,493
8500060,494
8500061,494
8500062,494
8500063,493
8500064,493
8500065,493
8500066,493
8500067,493
8500068,462
8500069,462
8500070,461
8500071,494
8500072,493
8500073,527
8500076,526
8500077,526
8500079,527
8500080,592
8500081,592
8500082,592
8500083,592
8500084,591
8500085,591
8500086,591
8500087,591
8500088,591
8500089,557
8500090,527
8500092,591
8500093,591
8500094,591
8500095,526
8500096,526
8500097,557
8500100,336
8500101,337
8500102,366
8500103,366
8500104,397
8500105,427
8500109,399
8500113,460
8500114,492
8500115,525
8500116,525
8500117,525
8500118,525
8500119,526
8500120,368
8500121,368
8500122,368
8500123,339
8500124,308
8500125,276
8500126,276
8500127,277
8500128,245
8500130,245
8500135,366
8500136,526
8500138,495
8500141,244
8500143,277
8500144,245
8500146,494
8500147,527
8500159,425
8500160,494
8500161,527
8500162,272
8500164,272
8500165,240
8500167,240
8500169,208
8500170,272
8500171,272
8500172,240
8500173,240
8500174,207
8500175,207
8500176,207
8500177,179
8500178,178
8500179,178
8500180,179
8500181,179
8500184,155
8500186,309
8500187,309
8500188,310
8500189,527
8500190,240
8500191,208
8500192,241
8500193,494
8500194,241
8500195,274
8500196,306
8500199,307
8500200,395
8500201,396
8500202,425
8500203,425
8500204,456
8500205,456
8500206,488
8500207,488
8500208,520
8500209,520
8500210,554
8500211,555
8500212,555
8500213,589
8500214,622
8500215,622
8500216,656
8500217,656
8500218,656
8500220,394
8500221,395
8500230,456
8500231,456
8500233,525
8500234,526
8500235,526
8500236,527
8500237,527
8500252,457
8500254,527
8500255,525
8500256,526
8500260,457
8500261,456
8500262,456
8500263,457
8500264,457
8500265,457
8500266,427
8500267,427
8500268,427
8500272,488
8500273,488
8500274,488
8500275,488
8500280,488
8500283,488
8500285,521
8500286,521
8500287,521
8500288,555
8500289,555
8500292,555
8500293,556
8500294,556
8500300,560
8500301,626
8500302,626
8500303,660
8500304,721
8500305,721
8500309,806
8500313,594
8500320,691
8500322,751
8500329,808
8500371,656
8500380,622
8500381,622
8500382,622
8500383,622
8500385,621
8500386,589
